@file,1,DJM-750MK2
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
,,,,,,,,,,,,,,
#CH1-CH4,,,,,,,,,,,,,,
#,CFX.PARAMETER,KnobSlider,B06C,,,,,,,,,,Max=127,Sound Color FX PARAMETER
,,,,,,,,,,,,,,
#HEADPHONES,,,,,,,,,,,,,,
#,HeadphonesMix,KnobSlider,B01B,,,,,,,,,,,HEADPHONES MIXING
#,HeadphonesVolume,KnobSlider,B01A,,,,,,,,,,,HEADPHONES LEVEL
,,,,,,,,,,,,,,
#USB Peer,,,,,,,,,,,,,,
PeerUsbPortName.USBA,PeerUsbPortName.USBA,Button,904E,,,,,,,,,,RO,USB A
#,PeerUsbPortName.USBC,Button,9050,,,,,,,,,,,USB C
,,,,,,,,,,,,,,
# Parameter,,,,,,,,,,,,,,
MidiOutInterval,MidiOutInterval,Parameter,FFF3,,,,,,,,,,Value=1,
